id_candidatura,nome_urna,nome_candidato,fb_id,nome_cidade,sigla_estado,numero_partido,nota_partido,sigla_partido,Adoção por famílias LGBTs,Respeito à identidade de gênero de pessoas trans,Cota para mulheres no legislativo,Igualdade de gênero e raça nas escolas,Ações afirmativas raciais,Estado Laico,Combate à violência contra mulher,Descriminalização do aborto,Criminalização da LGBTfobia,Desmilitarização da polícia,Desapropriação por interesse social,Defesa do meio ambiente,Orçamento participativo,Transparência,votos_recebidos,cor_tse,genero,situacao_candidatura,situacao_eleitoral
348,TATIANA GUERRA,Tatiana Picerno Guerra,10209198667538926,Rio de Janeiro,RJ,18,73,REDE,S,S,S,S,S,S,S,S,S,S,S,S,S,S,316,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
304,WASHINGTON SANTOS,Washington Santos,1081069888609414,Rio de Janeiro,RJ,45,28,PSDB,S,S,S,N,S,N,S,S,S,S,S,N,S,S,139,PRETA,MASCULINO,DEFERIDO,SUPLENTE
254,Thiago Bagatin,Thiago Bagatin,1105820916174279,Curitiba,PR,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1710,BRANCA,MASCULINO,DEFERIDO,NÃO ELEITO
190,Lincoln Morais,Lincoln Morais,1061583720623960,Cabo de Santo Agostinho,PE,51,26,PEN,S,S,S,S,S,S,S,S,N,S,S,S,S,S,59,PARDA,MASCULINO,DEFERIDO,SUPLENTE
724,Nilo Garçom,Nilo Garçom,966533226791560,São Paulo,SP,50,100,PSOL,S,N,S,N,S,N,S,N,S,S,S,S,S,S,504,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
448,Ariane Leitã0,Ariane Leitão,10207119373567124,Porto Alegre,RS,13,90,PT,S,S,S,S,S,S,S,S,S,S,S,S,S,S,2294,BRANCA,FEMININO,DEFERIDO,SUPLENTE
815,Paulo César,Paulo César,179675452467467,Campinas,SP,18,73,REDE,S,S,N,S,S,S,N,S,S,S,S,S,S,S,61,PRETA,MASCULINO,DEFERIDO,NÃO ELEITO
802,SHARYLAINE,Sharylaine Bakhita,1403939082954460,São Paulo,SP,65,91,PC do B,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1366,PRETA,FEMININO,DEFERIDO,NÃO ELEITO
297,Everton Bras,Everton Braz,1755203068085635,Rio de Janeiro,RJ,13,90,PT,N,N,S,S,S,S,S,N,N,S,S,S,S,S,212,PRETA,MASCULINO,DEFERIDO,SUPLENTE
415,Laila seller,Laila Seller,1208399232544646,Porto Alegre,RS,51,26,PEN,S,S,S,S,S,N,S,S,S,N,S,S,S,S,28,BRANCA,FEMININO,DEFERIDO,NÃO ELEITO
34,Aline Dea,Aline Déa,1088163034553216,Lauro de Freitas,BA,90,37,PROS,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,PRETA,FEMININO,DEFERIDO,SUPLENTE
173,Prof. Renan Araujo,Renan Araujo,1274704295894903,Castanhal,PA,43,51,PV,S,S,S,S,S,S,S,N,S,S,S,S,S,S,29,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
827,Prof. André Rodrigues,André Wagner Rodrigues,1150270278344787,São Paulo,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,1569,BRANCA,MASCULINO,DEFERIDO,SUPLENTE
402,Edson Mota,Edson Mota,1667415106908636,Porto Alegre,RS,25,14,DEM,N,N,N,S,N,N,S,N,N,N,N,N,N,S,382,PARDA,MASCULINO,DEFERIDO,SUPLENTE
552,AILTON AMARAL,Ailton Amaral,10209236678466032,São Paulo,SP,50,100,PSOL,S,S,S,S,S,S,S,S,S,S,S,S,S,S,724,PRETA,MASCULINO,DEFERIDO,SUPLENTE
